participant_id_3,time_point,knowledge_general_score,knowledge_warning_score,knowledge_appropriate_score,knowledge_helpful_score,system_support_score,status,inclusive_status,region,attitude_general_score,attitude_acceptability_score,attitude_genderroles_score,attitude_profroles_score,empathy_score,confidence_score,practice_score
134,1,57.89473684210527,66.66666666666666,60,20,0,One only,NA,Hatolia,57.49999999999999,78.57142857142857,0,0,21.875,7.5,NA
136,1,89.47368421052632,100,60,50,83.33333333333334,One & two only,One & two inclusive,Hatolia,60,14.285714285714285,45.83333333333333,83.33333333333334,79.6875,70,NA
140,1,73.68421052631578,66.66666666666666,80,50,50,One & two only,One & two inclusive,Hatolia,72.5,92.85714285714286,54.166666666666664,87.5,89.0625,60,NA
132,1,52.63157894736842,77.77777777777779,60,40,0,One & two only,One & two inclusive,Hatolia,45,50,45.83333333333333,33.33333333333333,51.5625,45,NA
142,1,63.1578947368421,77.77777777777779,20,40,100,All three,One & two inclusive,Hatolia,42.5,28.57142857142857,70.83333333333334,70.83333333333334,85.9375,70,NA
124,1,68.42105263157895,66.66666666666666,40,40,66.66666666666666,One only,NA,NA,52.5,14.285714285714285,37.5,75,73.4375,72.5,100
136,2,84.21052631578947,88.88888888888889,100,90,100,One & two only,One & two inclusive,Hatolia,60,50,41.66666666666667,70.83333333333334,78.125,70,NA
142,2,73.68421052631578,100,80,80,100,All three,One & two inclusive,Hatolia,52.5,28.57142857142857,66.66666666666666,62.5,70.3125,65,NA
470,2,73.68421052631578,100,80,80,100,Two only,NA,Hatolia,50,85.71428571428571,50,66.66666666666666,92.1875,75,NA
138,2,78.94736842105263,100,80,60,100,Two only,NA,Hatolia,57.49999999999999,100,75,50,64.0625,52.5,NA
471,1,68.42105263157895,66.66666666666666,40,40,66.66666666666666,One only,NA,Hatolia,52.5,14.285714285714285,37.5,75,73.4375,72.5,100
143,1,73.68421052631578,77.77777777777779,80,60,83.33333333333334,All three,One & two inclusive,Hatolia,50,78.57142857142857,29.166666666666668,54.166666666666664,79.6875,72.5,NA
145,1,63.1578947368421,100,60,50,16.666666666666664,All three,One & two inclusive,Hatolia,47.5,35.714285714285715,50,41.66666666666667,54.6875,27.500000000000004,NA
146,1,57.89473684210527,100,100,80,100,One & two only,One & two inclusive,Hatolia,42.5,92.85714285714286,41.66666666666667,58.333333333333336,54.6875,57.49999999999999,NA
445,1,63.1578947368421,66.66666666666666,60,40,83.33333333333334,All three,One & two inclusive,Hatolia,42.5,7.142857142857142,45.83333333333333,50,46.875,37.5,NA
148,1,63.1578947368421,55.55555555555556,80,40,100,One & two only,One & two inclusive,Hatolia,57.49999999999999,57.14285714285714,50,37.5,76.5625,65,NA
152,1,63.1578947368421,44.44444444444444,40,70,66.66666666666666,All three,One & two inclusive,Hatolia,55.00000000000001,57.14285714285714,58.333333333333336,70.83333333333334,60.9375,52.5,NA
457,1,73.68421052631578,55.55555555555556,60,50,100,One & two only,One & two inclusive,Hatolia,55.00000000000001,50,37.5,50,42.1875,42.5,NA
157,1,73.68421052631578,66.66666666666666,40,60,83.33333333333334,All three,One & two inclusive,Hatolia,52.5,35.714285714285715,62.5,66.66666666666666,62.5,55.00000000000001,55.55555555555556
159,1,57.89473684210527,44.44444444444444,20,20,83.33333333333334,One & three only,NA,Hatolia,55.00000000000001,71.42857142857143,54.166666666666664,41.66666666666667,53.125,42.5,NA
161,1,52.63157894736842,55.55555555555556,40,50,33.33333333333333,One & three only,NA,Hatolia,45,100,62.5,58.333333333333336,56.25,32.5,NA
162,1,63.1578947368421,66.66666666666666,60,50,100,All three,One & two inclusive,Hatolia,37.5,78.57142857142857,50,62.5,62.5,62.5,NA
165,1,68.42105263157895,100,80,40,100,One & two only,One & two inclusive,Hatolia,37.5,28.57142857142857,37.5,41.66666666666667,64.0625,55.00000000000001,NA
149,1,84.21052631578947,55.55555555555556,40,90,83.33333333333334,One & two only,One & two inclusive,Hatolia,65,57.14285714285714,41.66666666666667,83.33333333333334,64.0625,72.5,NA
163,1,52.63157894736842,55.55555555555556,80,50,33.33333333333333,One & two only,One & two inclusive,Hatolia,55.00000000000001,85.71428571428571,50,70.83333333333334,68.75,32.5,NA
167,1,63.1578947368421,33.33333333333333,20,40,66.66666666666666,One & two only,One & two inclusive,Hatolia,60,78.57142857142857,62.5,95.83333333333334,50,65,NA
168,1,84.21052631578947,100,60,70,50,One only,NA,Hatolia,47.5,50,66.66666666666666,54.166666666666664,64.0625,55.00000000000001,NA
156,1,73.68421052631578,0,20,40,33.33333333333333,One & two only,One & two inclusive,Hatolia,45,100,66.66666666666666,75,70.3125,45,NA
457,2,78.94736842105263,66.66666666666666,100,60,100,One & two only,One & two inclusive,Hatolia,60,57.14285714285714,45.83333333333333,62.5,64.0625,40,100
167,2,78.94736842105263,44.44444444444444,20,70,66.66666666666666,One & two only,One & two inclusive,Hatolia,55.00000000000001,57.14285714285714,62.5,45.83333333333333,45.3125,57.49999999999999,NA
143,2,78.94736842105263,100,80,50,100,All three,One & two inclusive,Hatolia,70,0,62.5,83.33333333333334,89.0625,75,NA
151,2,57.89473684210527,66.66666666666666,20,40,83.33333333333334,Two & three only,NA,Hatolia,60,100,33.33333333333333,41.66666666666667,45.3125,32.5,NA
140,2,89.47368421052632,100,60,100,100,One & two only,One & two inclusive,Hatolia,85,100,70.83333333333334,87.5,92.1875,82.5,NA
163,2,63.1578947368421,66.66666666666666,80,60,66.66666666666666,One & two only,One & two inclusive,Hatolia,45,71.42857142857143,54.166666666666664,70.83333333333334,67.1875,65,NA
132,2,68.42105263157895,0,80,80,50,One & two only,One & two inclusive,Hatolia,65,100,50,41.66666666666667,26.5625,62.5,NA
445,2,63.1578947368421,55.55555555555556,60,70,66.66666666666666,All three,One & two inclusive,Hatolia,72.5,50,45.83333333333333,70.83333333333334,46.875,57.49999999999999,NA
165,2,100,100,100,100,100,One & two only,One & two inclusive,Hatolia,55.00000000000001,100,66.66666666666666,83.33333333333334,76.5625,70,NA
145,2,78.94736842105263,100,60,90,100,All three,One & two inclusive,Hatolia,70,100,41.66666666666667,66.66666666666666,81.25,62.5,NA
152,2,89.47368421052632,100,60,90,100,All three,One & two inclusive,Hatolia,70,100,50,66.66666666666666,87.5,65,NA
149,2,84.21052631578947,88.88888888888889,80,80,83.33333333333334,One & two only,One & two inclusive,Hatolia,55.00000000000001,57.14285714285714,62.5,75,92.1875,85,NA
144,2,78.94736842105263,44.44444444444444,60,90,83.33333333333334,Two & three only,NA,Hatolia,37.5,71.42857142857143,62.5,75,82.8125,80,NA
156,2,78.94736842105263,55.55555555555556,100,40,83.33333333333334,One & two only,One & two inclusive,Hatolia,52.5,0,58.333333333333336,75,89.0625,80,100
131,2,68.42105263157895,100,80,60,100,One & two only,One & two inclusive,Hatolia,65,50,45.83333333333333,83.33333333333334,42.1875,35,NA
157,2,89.47368421052632,100,100,100,100,All three,One & two inclusive,Hatolia,67.5,78.57142857142857,75,66.66666666666666,73.4375,40,55.55555555555556
148,2,68.42105263157895,77.77777777777779,100,80,83.33333333333334,One & two only,One & two inclusive,Hatolia,72.5,100,66.66666666666666,79.16666666666666,73.4375,77.5,100
133,2,89.47368421052632,100,80,90,100,Two only,NA,Hatolia,45,78.57142857142857,58.333333333333336,50,70.3125,75,NA
146,2,73.68421052631578,77.77777777777779,80,20,100,One & two only,One & two inclusive,Hatolia,52.5,71.42857142857143,25,54.166666666666664,68.75,72.5,NA
162,2,78.94736842105263,88.88888888888889,80,60,100,All three,One & two inclusive,Hatolia,65,21.428571428571427,54.166666666666664,66.66666666666666,79.6875,55.00000000000001,NA
171,1,68.42105263157895,88.88888888888889,0,60,100,One only,NA,Bazartete,70,85.71428571428571,45.83333333333333,45.83333333333333,71.875,50,NA
24,2,63.1578947368421,100,80,70,100,One & two only,One & two inclusive,Gleno,50,85.71428571428571,37.5,75,62.5,67.5,NA
28,2,42.10526315789473,33.33333333333333,60,40,100,One & two only,One & two inclusive,Railaco,37.5,28.57142857142857,25,41.66666666666667,57.8125,62.5,NA
49,2,73.68421052631578,66.66666666666666,80,90,50,One & two only,One & two inclusive,Gleno,67.5,100,58.333333333333336,50,79.6875,65,100
34,2,84.21052631578947,100,100,40,100,One & two only,One & two inclusive,Gleno,52.5,85.71428571428571,75,37.5,46.875,52.5,NA
173,1,73.68421052631578,0,0,90,50,All three,One & two inclusive,Liquica,80,14.285714285714285,87.5,58.333333333333336,65.625,32.5,33.33333333333333
174,1,84.21052631578947,100,100,50,100,One & two only,One & two inclusive,Liquica,65,50,58.333333333333336,83.33333333333334,45.3125,40,100
177,1,63.1578947368421,22.22222222222222,100,80,100,One only,NA,Liquica,60,42.857142857142854,33.33333333333333,62.5,67.1875,57.49999999999999,NA
178,1,78.94736842105263,66.66666666666666,20,80,33.33333333333333,One & two only,One & two inclusive,Liquica,62.5,71.42857142857143,50,75,64.0625,50,NA
181,1,68.42105263157895,88.88888888888889,60,60,83.33333333333334,One & two only,One & two inclusive,Liquica,55.00000000000001,50,62.5,83.33333333333334,81.25,77.5,100
182,1,89.47368421052632,66.66666666666666,60,80,83.33333333333334,All three,One & two inclusive,Liquica,57.49999999999999,100,75,62.5,65.625,50,55.55555555555556
